Object Number,Title,Period,Classification,Link Resource
29.20.2,明  佚名  柳馬圖  冊頁|Horse and Willow Tree,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36039
29.100.476,元 佚名 仕女像 軸|Portrait of a Lady,Yuan dynasty (1271–1368),Paintings,http://www.metmuseum.org/art/collection/search/36041
29.100.531,元　佚名　 陳容　僞款　雲行雨施圖　卷|Dragon and Landscape,Yuan dynasty (1271–1368),Paintings,http://www.metmuseum.org/art/collection/search/36042
29.100.945,,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/36043
42.74.1a–h,清 張宗蒼 山水 冊 紙本|Miniature landscapes,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36047
47.18.1,清  佚名  清明上河圖  卷|Spring Festival on the River,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36048
47.18.3,清  佚名  倣郭熙  溪山無盡圖  卷|Streams and Mountains Without End,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36049
47.18.19,明  倣林良  蘆鴨圖  軸|Ducks and Reeds,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36050
47.18.22,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36051
47.18.30,南宋  佚名  洞天論道圖   團扇|Conversation in a cave,Southern Song dynasty (1127–1279),Paintings,http://www.metmuseum.org/art/collection/search/36052
47.18.43a,,late Yuan (1271–1368)–early Ming (1368–1644) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/36053
47.18.55,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36054
47.18.63,南宋 馬麟 松下高士圖 冊頁 絹本|Landscape with great pine,Song dynasty (960–1279),Paintings,http://www.metmuseum.org/art/collection/search/36055
47.18.83,南宋  佚名  風雨拉縴圖  團扇|Towing a Boat in a Rainstorm,Song dynasty (960–1279),Paintings,http://www.metmuseum.org/art/collection/search/36056
47.18.103,"元   佚名   第六羅漢跋陀羅圖 軸|Bhadra, The Sixth Luohan",Yuan dynasty (1271–1368),Paintings,http://www.metmuseum.org/art/collection/search/36057
47.18.111,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36058
47.18.116,清　佚名　傳馬荃　花蝶圖　卷|Flowers and Butterflies,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36059
47.18.128,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36061
47.18.129,明　佚名　唐寅(僞款)　蕉葉仕女圖　卷|Beauty Sleeping on a Banana Leaf,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36062
47.18.133,,Southern Song dynasty (1127–1279),Paintings,http://www.metmuseum.org/art/collection/search/36063
47.18.136,南宋    佚名    冬景圖    團扇|Winter Landscape,Song dynasty (960–1279,Paintings,http://www.metmuseum.org/art/collection/search/36064
47.18.147,元/明 佚名 竹榻小憩圖 冊頁|Man Sleeping on a Bamboo Couch,Yuan (1271–1368)–Ming (1368–1644) dynasty,Paintings,http://www.metmuseum.org/art/collection/search/36065
52.177.20,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36067
53.103,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36068
53.130.1,清   佚名   大勢至菩薩像   軸|Mahasthamaprapta Bodhisattva,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36069
55.211.1,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36070
55.211.2,,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36071
55.212,清  程正揆  江山臥遊圖  卷|Dream Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36072
56.129.3,,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36075
57.174.2,明　佚名　庭院讀書圖　軸|Elegant gathering in a garden,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36079
58.148.1,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36080
59.49.1,明  阮祖德  抑齋曾叔祖八十五齡壽像  軸|Portrait of the Artist's Great-Granduncle Yizhai at the Age of Eighty-Five,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36081
59.49.2,明  阮祖德  老婦像  軸|Portrait of an Old Lady,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36082
59.81,明清／日本江戶時代   (傳) 陳賢   十六羅漢圖   冊|The Sixteen Luohans,"Ming (1368–1644) or Qing dynasty (1644–1911); or Japan, Edo period (1603–1868)",Paintings,http://www.metmuseum.org/art/collection/search/36083
59.117,明  劉世儒  月下雪梅圖  軸|Flowering Plum in Moonlight and Snow,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36084
63.24,,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36088
64.268.1,"明/清　項聖謨　秋景圖　冊頁|Autumn Landscape, leaf from Album for Zhou Lianggong",Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36089
64.268.2,"清　葉欣　白鶴嶺圖　冊頁|White Crane Mountain, leaf from Album for Zhou Lianggong",Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36090
64.268.3,"清　施霖　山莊圖　冊頁|Mountain Retreat,  leaf from Album for Zhou Lianggong",Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36091
66.147.1,,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36092
67.6.1,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36093
67.6.2,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36094
68.195,明   魏之克(魏克)   四時倣古山水圖   卷|Landscape of the four seasons in the styles of old masters,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36095
68.212.2,,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36096
1972.278.2,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36099
1972.278.4,清 王鑑 倣黃公望秋山圖 軸 紙本|Landscape in the style of Huang Gongwang,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36100
1972.278.7,清  楊晉  滄洲牧牛圖  軸|Landscape with Figures,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36101
1972.278.8,清  方士庶  山水圖  軸|Landscape,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36102
1972.278.9a–t,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36103
1975.268.16,大般若経（中尊寺経）|Great Wisdom Sutra (Daihannya-kyō) from the Chūsonji Temple Sutra Collection (Chūsonji-kyō),Heian period (794–1185),Paintings,http://www.metmuseum.org/art/collection/search/36104
1975.268.81,"清   沈銓   月季桃鶴圖   軸|Cranes, peach tree, and China rose",Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36105
1975.268.82,"清　沈銓　高堂雙壽圖　軸|Crabapple, China rose, and Indian flycatcher",Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36106
1975.268.138,優闐王と唐獅子図絵馬「奉掛御宝前 絵馬 寛永丁卯年三月廿五日」|Ema (Votive Painting) of Chinese Lion Led by Utenō,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/36107
1975.268.139,水辺に牡丹と唐獅子図絵馬「寛永八 年末三月廿五日」|Ema (Votive Painting) of a Chinese Lion and Peony Tree by Flowing Water,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/36108
1975.268.140,牡丹に唐獅子図絵馬　「奉掛絵馬慶 安二年三月廿五日」|Ema (Votive Painting) of Chinese Lion and Peony Tree,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/36109
1975.268.141,青面金剛夜叉図大津絵|Ōtsu-e of Shōmen Kongōyasha (Vajrayaksha),Muromachi (1392–1573) or Momoyama period (1573–1615),Paintings,http://www.metmuseum.org/art/collection/search/36110
1975.268.142,金剛夜叉図大津絵|Ōtsu-e of Shōmen Kongōyasha (Vajrayaksha),Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/36111
1975.268.143,十三仏図大津絵|Ōtsu-e of Thirteen Buddhist Deities,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/36112
1975.268.145,白無垢美人図大津絵|Ōtsu-e of Courtesan in White,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/36113
1975.268.146,菖蒲の葉を持つ「野郎」図大津絵|Ōtsu-e of a Youth Holding Irises (Yarō),Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/36114
1975.268.147,布袋市右衛門図大津絵|Ōtsu-e of Kabuki Actor Playing Hotei Ichiemon,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/36115
1975.268.148,松に鷹図大津絵|Ōtsu-e of Falcon on a Pine Tree,Edo period (1615–1868),Paintings,http://www.metmuseum.org/art/collection/search/36116
1976.2,明  佚名 雪景山水圖 鏡框|Snowscape,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36119
1976.191,清　陳字　洗象圖　軸|Washing the White Elephant,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36120
1978.5,,Ming dynasty (1368–1644),Paintings,http://www.metmuseum.org/art/collection/search/36123
1979.500.1,清   清初八大家山水冊|Landscapes Painted for Wang Kui,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36129
1980.426.1a–l,清　龔賢　十二月令山水圖　冊|Landscapes of the Twelve Months,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36130
1981.4.1a–o,清   龔賢   墨筆山水詩畫   冊|清　龔賢　自題 山水十六開   冊|Landscapes with poems,Qing dynasty (1644–1911),Paintings,http://www.metmuseum.org/art/collection/search/36131
